iteration,X,Y,max_relative_change,max_Delta_u,F_vector_norm
0,0.9985859210600269,0.9985821964671273,8.999354898369818e-27,1.4746905299995429e-09,2.9748292689710455e-06
100,0.4438877757562934,0.4416467848747943,8.726577246747725e-27,5.100909351791157e-10,1.7727834007046987e-06
200,0.21607933974446494,0.2112324421435071,8.625116024432022e-27,3.374466505931937e-10,1.0399744633374548e-06
300,0.09217521342350296,0.08665740134209639,8.572470915673618e-27,1.8096512652663114e-10,6.147082174437005e-07
400,0.01680379868572578,0.011759508133149686,8.541248048567508e-27,1.1555091371979854e-10,3.6439648019374444e-07
500,0.028566643502778145,0.03242279586705615,8.522391188601317e-27,6.361988454867869e-11,2.1156262836540284e-07
600,0.053849785771447584,0.056629988825226255,8.511266945148981e-27,3.41807822721327e-11,1.222783410657501e-07
700,0.06790625729772419,0.06988288045742878,8.504855239951311e-27,2.186563050473242e-11,7.189658150848707e-08
800,0.07623522261529203,0.07760113524327368,8.500976071200618e-27,1.0887071712658087e-11,4.1014250781825703e-08
900,0.08111033689542893,0.08203032784733913,8.498677190179585e-27,6.04111725616242e-12,2.316982579043141e-08
1000,0.08383390321075802,0.08445031422415801,8.497383631752097e-27,3.3919864718894386e-12,1.3247162165610411e-08
1100,0.08543641432461851,0.08583961674803894,8.496619397336698e-27,1.8555393772011757e-12,7.387045430002794e-09
1200,0.08630599898706509,0.08657331044418884,8.496203720082351e-27,1.0451548238341869e-12,4.261841032778838e-09
1300,0.08681543921138042,0.08699083553201307,8.495959879089137e-27,5.845914811978014e-13,2.445204036194541e-09
1400,0.0871143324059074,0.08722801349768358,8.495816705305047e-27,3.232419024129943e-13,1.3894230651116721e-09
1500,0.08729320428479995,0.08736483254055367,8.495730984694409e-27,1.7242009698004862e-13,7.714137259885568e-10
1600,0.08738938137747027,0.08743542859750103,8.495684881512468e-27,9.441918923235719e-14,4.3746606993622097e-10
1700,0.08744579743573161,0.0874750294505717,8.495657834257308e-27,5.078148742679579e-14,2.4660499829647395e-10
1800,0.08747687151906375,0.08749578885513801,8.495642935327912e-27,3.220042371711688e-14,1.4361219773207876e-10
1900,0.08749499773167822,0.08750726746282751,8.495634244052287e-27,1.7247995076398876e-14,8.351530623504721e-11
2000,0.08750571578861736,0.08751366159951185,8.495629104743879e-27,8.498633919436095e-15,4.863331367903821e-11
2100,0.08751214439962801,0.08751724505378372,8.495626022173024e-27,5.207374409390921e-15,2.8212544474425557e-11
2200,0.0875159312426666,0.08751919678356368,8.495624206333377e-27,2.6101746413311502e-15,1.6308872200957117e-11
